ID,Mount name,Flange focal distance,Frame size,Throat or thread diameter,Mount thread pitch,Mount type,Primary use,Camera lines
18,Bronica GS1 ,85 mm ,6×7 ,80.5 mm ,,Bayonet ,Photography ,
19,Bronica RF ,,6×4.5 ,,,Bayonet ,Photography ,
20,Bronica SQA ,101.7 mm ,6×6 ,57 mm ,,Bayonet ,Photography ,
21,C ,17.526 mm (0.69 inches) ,"1/2"", 16 mm, 2/3"", 1"" ",25.40 mm (1 inch) ,32 TPI ,Screw ,Cinematography / Industrial / Machine Vision ,
22,Canon EF ,44.00 mm ,35 mm ,54 mm[6] ,,Bayonet ,Photography ,"Canon EOS 35mm film SLR, Full Frame & APS-H DSLR "
23,Canon EF-M ,18 mm ,APS-C ,47 mm ,,Bayonet ,Photography (Digital) ,Canon EOS M series Mirrorless APS-C Cameras 
24,Canon EF-S ,44.00 mm ,APS-C ,54 mm ,,Bayonet ,Photography (Digital) ,Canon EOS APS-C DSLR 
25,Canon EX ,20 mm ,"1/2"" ",,,Bayonet ,Photography ,
26,Canon FD ,42 mm ,35 mm ,48 mm ,,Breech lock ,Photography ,"Canon F series, A series, and T series SLRs "
27,"Canon FDn (a.k.a. ""New FD"") ",42 mm ,35 mm ,48 mm ,,Bayonet ,Photography ,completely interchangeable with earlier FD lenses 
28,Canon FL ,42 mm ,35 mm ,48 mm ,,Breech lock ,Photography ,
29,Canon RF ,20 mm ,35 mm and APS-C ,54 mm ,,Bayonet ,Photography (Digital) ,"Canon EOS R series full-frame and APS-C mirrorless cameras; lenses designated as RF-S are optimized for APS-C sensors, but will mount on full-frame bodies "
30,Canon SV ,32.00 mm ,,,,Bayonet ,Photography (Digital) ,Canon RC-701 & 760 
31,Contax G ,29.00 mm ,35 mm ,44 mm ,,Breech lock ,Photography ,
32,Contax N ,48 mm ,35 mm ,55 mm ,,Bayonet ,Photography ,
33,Contax RF ,34.85 mm ,35 mm ,44 mm ,,Double bayonet ,Photography ,"Contax I, II, III, IIa, IIIa
Kiev rangefinders "
34,Contax/Yashica ,45.5 mm ,35 mm ,48 mm ,,Bayonet ,Photography ,Yashica/Contax 
35,CS ,12.526 mm[10] ,"1/3"", 1/2"" ",25.40 mm (1 inch) ,32 TPI ,Screw ,Cinematography / Industrial ,
36,D ,12.29 mm ,8 mm ,15.88 mm (0.625 inch) ,32 TPI ,Screw ,Cinematography ,
37,DJI DL ,16.84 mm[9] ,35 mm and APS-C ,58 mm[9] ,,Bayonet ,"Photography (Digital), Cinematography ","For aerial drone and gimbal use; DJI Zenmuse X7, X9 and DJI Ronin 4D X9 cameras. "
38,"Exakta, Topcon RE ",44.7 mm ,35 mm ,46 mm ,,Bayonet ,Photography ,
39,Four Thirds ,38.67 mm ,17.3 mm × 12.98 mm ,~44 mm[A] ,,Bayonet ,Photography (Digital) ,"Olympus E
Panasonic Lumix DMC-L
Leica Digilux "
40,Fujica X ,43.5 mm ,35 mm ,49 mm ,,Bayonet ,Photography ,Fujica-X 
41,Fujifilm G ,26.7 mm ,43.8x32.9 mm ,65 mm[14] ,,Bayonet ,Photography (Digital) ,Fujifilm GFX series 
42,Fujifilm X ,17.7 mm ,APS-C ,44 mm ,,Bayonet ,Photography (Digital) ,Fujifilm X series mirrorless 
43,H-Mount ,55 mm ,35 mm ,47 mm ,0.75 mm ,Screw ,Photography ,Hanimex (rebranding of Tokina M47) 
44,Hasselblad ,74.9 mm ,6×6 ,69 mm ,,Bayonet ,Photography ,
45,Hasselblad Xpan ,34.27 mm ,35 mm panoramic ,46 mm ,,Bayonet ,Photography ,
46,Icarex BM ,48.00 mm ,35 mm ,,,Breech lock ,Photography ,Icarex 35S 
47,Kiev-16C ,17.35 mm[5] ,16 mm ,27 mm ,0.75mm ,Screw ,,Kiev-1C 16mm movie camera 
48,Kiev-16U ,31 mm[5] ,16 mm ,32 mm ,0.5 mm ,Screw ,Cinematography ,Kiev-16U/UE 16mm movie cameras 
49,Kinor 16SP ,52 mm[1] ,16 mm ,43 mm ,,Breech lock ,Cinematography ,"Kinor 16SP, Krasnogorsk-1, -2, -3[2][3] 16mm movie cameras "
50,Kinor 16SX ,52 mm[4] ,16 mm ,43 mm ,,Breech lock ,Cinematography ,"Kinor 16SX-1M,-2M 16mm movie camera "
51,KM ,28 mm (27.80 mm?) ,35 mm ,44 mm ,,Bayonet ,Photography ,Konica Hexar RF 
52,Konica AR ,40.50 mm ,35 mm ,47 mm ,,Bayonet ,Photography ,Konica Autoreflex 
53,Konica F ,40.50 mm ,35 mm ,40 mm ,,Bayonet ,Photography ,Konica F 
